month,kind,id,thousand_m3_month
2025-01,demand,trans_centrales,756513
2025-01,demand,trans_industria,160088
2025-01,demand,trans_rtp,149208
2025-01,demand,trans_subdistribuidor,5904
2025-01,export,brasil_ypf_uruguayana,0
2025-01,export,chile_egs,36103
2025-01,export,chile_gasandes,185507
2025-01,export,chile_methanex_ypf,5607
2025-01,export,chile_norandino,100
2025-01,export,uruguay_gas_link,3396
2025-01,export,uruguay_petrouruguay,59
2025-01,supply,dist_otros,0
2025-01,supply,dist_propios,33535
2025-01,supply,tgn_neuquina,968562
2025-01,supply,tgn_noroeste,93878
2025-01,supply,tgn_otros,972
2025-01,supply,tgs_austral,638249
2025-01,supply,tgs_neuquina,1.72887e+06
2025-01,supply,tgs_otros,0
2025-01,supply,tgs_san_jorge,234014
2025-02,demand,dist_centrales,661295
2025-02,demand,dist_comercial,56055
2025-02,demand,dist_entes_oficiales,10230
2025-02,demand,dist_gnc,150942
2025-02,demand,dist_industria,775568
2025-02,demand,dist_residencial,287266
2025-02,demand,dist_subdistribuidor,27549
2025-02,demand,trans_centrales,705789
2025-02,demand,trans_industria,152813
2025-02,demand,trans_rtp,132113
2025-02,demand,trans_subdistribuidor,7074
2025-02,export,brasil_ypf_uruguayana,0
2025-02,export,chile_egs,31622
2025-02,export,chile_gasandes,196064
2025-02,export,chile_methanex_ypf,4611
2025-02,export,chile_norandino,0
2025-02,export,uruguay_gas_link,1956
2025-02,export,uruguay_petrouruguay,56
2025-02,supply,dist_otros,0
2025-02,supply,dist_propios,30034
2025-02,supply,tgn_neuquina,913334
2025-02,supply,tgn_noroeste,89759
2025-02,supply,tgn_otros,13766
2025-02,supply,tgs_austral,612949
2025-02,supply,tgs_neuquina,1.66865e+06
2025-02,supply,tgs_otros,0
2025-02,supply,tgs_san_jorge,205982
2025-03,demand,dist_centrales,527144
2025-03,demand,dist_comercial,67839
2025-03,demand,dist_entes_oficiales,15258
2025-03,demand,dist_gnc,164635
2025-03,demand,dist_industria,770548
2025-03,demand,dist_residencial,407107
2025-03,demand,dist_subdistribuidor,31644
2025-03,demand,trans_centrales,633448
2025-03,demand,trans_industria,160828
2025-03,demand,trans_rtp,29187
2025-03,demand,trans_subdistribuidor,9611
2025-03,export,brasil_ypf_uruguayana,0
2025-03,export,chile_egs,60451
2025-03,export,chile_gasandes,240394
2025-03,export,chile_methanex_ypf,0
2025-03,export,chile_norandino,996
2025-03,export,uruguay_gas_link,1963
2025-03,export,uruguay_petrouruguay,203
2025-03,supply,dist_otros,0
2025-03,supply,dist_propios,40211
2025-03,supply,tgn_neuquina,997270
2025-03,supply,tgn_noroeste,82087
2025-03,supply,tgn_otros,13184
2025-03,supply,tgs_austral,610314
2025-03,supply,tgs_neuquina,1.59823e+06
2025-03,supply,tgs_otros,0
2025-03,supply,tgs_san_jorge,202102
2025-04,demand,dist_centrales,362884
2025-04,demand,dist_comercial,89080
2025-04,demand,dist_entes_oficiales,29123
2025-04,demand,dist_gnc,161874
2025-04,demand,dist_industria,773491
2025-04,demand,dist_residencial,677428
2025-04,demand,dist_subdistribuidor,52843
2025-04,demand,trans_centrales,539902
2025-04,demand,trans_industria,145950
2025-04,demand,trans_rtp,17396
2025-04,demand,trans_subdistribuidor,13323
2025-04,export,brasil_ypf_uruguayana,0
2025-04,export,chile_egs,56465
2025-04,export,chile_gasandes,174162
2025-04,export,chile_methanex_ypf,6218
2025-04,export,chile_norandino,781
2025-04,export,uruguay_gas_link,2146
2025-04,export,uruguay_petrouruguay,168
2025-04,supply,dist_otros,0
2025-04,supply,dist_propios,51234
2025-04,supply,tgn_neuquina,935646
2025-04,supply,tgn_noroeste,78178
2025-04,supply,tgn_otros,38
2025-04,supply,tgs_austral,607566
2025-04,supply,tgs_neuquina,1.67747e+06
2025-04,supply,tgs_otros,0
2025-04,supply,tgs_san_jorge,194650
2025-05,demand,dist_centrales,398597
2025-05,demand,dist_comercial,111160
2025-05,demand,dist_entes_oficiales,44276
2025-05,demand,dist_gnc,166638
2025-05,demand,dist_industria,723818
2025-05,demand,dist_residencial,1.01421e+06
2025-05,demand,dist_subdistribuidor,71717
2025-05,demand,trans_centrales,490241
2025-05,demand,trans_industria,166562
2025-05,demand,trans_rtp,147714
2025-05,demand,trans_subdistribuidor,17964
2025-05,export,brasil_ypf_uruguayana,0
2025-05,export,chile_egs,0
2025-05,export,chile_gasandes,193041
2025-05,export,chile_methanex_ypf,7860
2025-05,export,chile_norandino,545
2025-05,export,uruguay_gas_link,99
